DaystoDepart,RoundTrip,SeatClass,Time,Price
0,FALSE,Economy,Morning,439
0,FALSE,Economy,Afternoon,439
0,FALSE,Economy,Evening,439
0,TRUE,Economy,Morning,695
0,TRUE,Economy,Afternoon,695
0,TRUE,Economy,Evening,695
0,FALSE,Business,Morning,573
0,FALSE,Business,Afternoon,573
0,FALSE,Business,Evening,573
0,TRUE,Business,Morning,1023
0,TRUE,Business,Afternoon,1003
0,TRUE,Business,Evening,1023
0,FALSE,FirstClass,Morning,573
0,FALSE,FirstClass,Afternoon,573
0,FALSE,FirstClass,Evening,573
0,TRUE,FirstClass,Morning,1023
0,TRUE,FirstClass,Afternoon,1023
0,TRUE,FirstClass,Evening,1023
1,FALSE,Economy,Morning,439
1,FALSE,Economy,Afternoon,439
1,FALSE,Economy,Evening,439
1,TRUE,Economy,Morning,695
1,TRUE,Economy,Afternoon,695
1,TRUE,Economy,Evening,695
1,FALSE,Business,Morning,573
1,FALSE,Business,Afternoon,573
1,FALSE,Business,Evening,573
1,TRUE,Business,Morning,1003
1,TRUE,Business,Afternoon,1003
1,TRUE,Business,Evening,1003
1,FALSE,FirstClass,Morning,573
1,FALSE,FirstClass,Afternoon,573
1,FALSE,FirstClass,Evening,573
1,TRUE,FirstClass,Morning,1003
1,TRUE,FirstClass,Afternoon,1003
1,TRUE,FirstClass,Evening,1003
2,FALSE,Economy,Morning,439
2,FALSE,Economy,Afternoon,439
2,FALSE,Economy,Evening,439
2,TRUE,Economy,Morning,516
2,TRUE,Economy,Afternoon,516
2,TRUE,Economy,Evening,516
2,FALSE,Business,Morning,573
2,FALSE,Business,Afternoon,573
2,FALSE,Business,Evening,573
2,TRUE,Business,Morning,874
2,TRUE,Business,Afternoon,874
2,TRUE,Business,Evening,874
2,FALSE,FirstClass,Morning,573
2,FALSE,FirstClass,Afternoon,573
2,FALSE,FirstClass,Evening,573
2,TRUE,FirstClass,Morning,874
2,TRUE,FirstClass,Afternoon,874
2,TRUE,FirstClass,Evening,874
3,FALSE,Economy,Morning,439
3,FALSE,Economy,Afternoon,439
3,FALSE,Economy,Evening,439
3,TRUE,Economy,Morning,746
3,TRUE,Economy,Afternoon,767
3,TRUE,Economy,Evening,746
3,FALSE,Business,Morning,573
3,FALSE,Business,Afternoon,573
3,FALSE,Business,Evening,573
3,TRUE,Business,Morning,1065
3,TRUE,Business,Afternoon,1065
3,TRUE,Business,Evening,1065
3,FALSE,FirstClass,Morning,573
3,FALSE,FirstClass,Afternoon,573
3,FALSE,FirstClass,Evening,573
3,TRUE,FirstClass,Morning,1065
3,TRUE,FirstClass,Afternoon,1065
3,TRUE,FirstClass,Evening,1065
4,FALSE,Economy,Morning,439
4,FALSE,Economy,Afternoon,439
4,FALSE,Economy,Evening,439
4,TRUE,Economy,Morning,746
4,TRUE,Economy,Afternoon,721
4,TRUE,Economy,Evening,746
4,FALSE,Business,Morning,573
4,FALSE,Business,Afternoon,573
4,FALSE,Business,Evening,573
4,TRUE,Business,Morning,1065
4,TRUE,Business,Afternoon,1065
4,TRUE,Business,Evening,1065
4,FALSE,FirstClass,Morning,573
4,FALSE,FirstClass,Afternoon,573
4,FALSE,FirstClass,Evening,573
4,TRUE,FirstClass,Morning,1065
4,TRUE,FirstClass,Afternoon,1065
4,TRUE,FirstClass,Evening,1065
5,FALSE,Economy,Morning,439
5,FALSE,Economy,Afternoon,323
5,FALSE,Economy,Evening,323
5,TRUE,Economy,Morning,510
5,TRUE,Economy,Afternoon,510
5,TRUE,Economy,Evening,486
5,FALSE,Business,Morning,553
5,FALSE,Business,Afternoon,553
5,FALSE,Business,Evening,553
5,TRUE,Business,Morning,874
5,TRUE,Business,Afternoon,874
5,TRUE,Business,Evening,874
5,FALSE,FirstClass,Morning,553
5,FALSE,FirstClass,Afternoon,553
5,FALSE,FirstClass,Evening,553
5,TRUE,FirstClass,Morning,874
5,TRUE,FirstClass,Afternoon,874
5,TRUE,FirstClass,Evening,874
6,FALSE,Economy,Morning,299
6,FALSE,Economy,Afternoon,329
6,FALSE,Economy,Evening,253
6,TRUE,Economy,Morning,337
6,TRUE,Economy,Afternoon,337
6,TRUE,Economy,Evening,337
6,FALSE,Business,Morning,473
6,FALSE,Business,Afternoon,473
6,FALSE,Business,Evening,473
6,TRUE,Business,Morning,745
6,TRUE,Business,Afternoon,745
6,TRUE,Business,Evening,745
6,FALSE,FirstClass,Morning,473
6,FALSE,FirstClass,Afternoon,473
6,FALSE,FirstClass,Evening,473
6,TRUE,FirstClass,Morning,745
6,TRUE,FirstClass,Afternoon,745
6,TRUE,FirstClass,Evening,745
7,FALSE,Economy,Morning,294
7,FALSE,Economy,Afternoon,294
7,FALSE,Economy,Evening,253
7,TRUE,Economy,Morning,337
7,TRUE,Economy,Afternoon,337
7,TRUE,Economy,Evening,337
7,FALSE,Business,Morning,493
7,FALSE,Business,Afternoon,493
7,FALSE,Business,Evening,493
7,TRUE,Business,Morning,765
7,TRUE,Business,Afternoon,875
7,TRUE,Business,Evening,765
7,FALSE,FirstClass,Morning,493
7,FALSE,FirstClass,Afternoon,493
7,FALSE,FirstClass,Evening,493
7,TRUE,FirstClass,Morning,765
7,TRUE,FirstClass,Afternoon,875
7,TRUE,FirstClass,Evening,765
8,FALSE,Economy,Morning,329
8,FALSE,Economy,Afternoon,294
8,FALSE,Economy,Evening,253
8,TRUE,Economy,Morning,337
8,TRUE,Economy,Afternoon,337
8,TRUE,Economy,Evening,337
8,FALSE,Business,Morning,493
8,FALSE,Business,Afternoon,493
8,FALSE,Business,Evening,493
8,TRUE,Business,Morning,745
8,TRUE,Business,Afternoon,745
8,TRUE,Business,Evening,745
8,FALSE,FirstClass,Morning,493
8,FALSE,FirstClass,Afternoon,493
8,FALSE,FirstClass,Evening,493
8,TRUE,FirstClass,Morning,745
8,TRUE,FirstClass,Afternoon,745
8,TRUE,FirstClass,Evening,745
9,FALSE,Economy,Morning,253
9,FALSE,Economy,Afternoon,253
9,FALSE,Economy,Evening,253
9,TRUE,Economy,Morning,287
9,TRUE,Economy,Afternoon,287
9,TRUE,Economy,Evening,287
9,FALSE,Business,Morning,493
9,FALSE,Business,Afternoon,493
9,FALSE,Business,Evening,493
9,TRUE,Business,Morning,680
9,TRUE,Business,Afternoon,680
9,TRUE,Business,Evening,680
9,FALSE,FirstClass,Morning,493
9,FALSE,FirstClass,Afternoon,493
9,FALSE,FirstClass,Evening,493
9,TRUE,FirstClass,Morning,680
9,TRUE,FirstClass,Afternoon,680
9,TRUE,FirstClass,Evening,680
10,FALSE,Economy,Morning,294
10,FALSE,Economy,Afternoon,328
10,FALSE,Economy,Evening,253
10,TRUE,Economy,Morning,442
10,TRUE,Economy,Afternoon,567
10,TRUE,Economy,Evening,520
10,FALSE,Business,Morning,493
10,FALSE,Business,Afternoon,493
10,FALSE,Business,Evening,493
10,TRUE,Business,Morning,895
10,TRUE,Business,Afternoon,895
10,TRUE,Business,Evening,895
10,FALSE,FirstClass,Morning,493
10,FALSE,FirstClass,Afternoon,493
10,FALSE,FirstClass,Evening,493
10,TRUE,FirstClass,Morning,895
10,TRUE,FirstClass,Afternoon,895
10,TRUE,FirstClass,Evening,895
11,FALSE,Economy,Morning,329
11,FALSE,Economy,Afternoon,279
11,FALSE,Economy,Evening,253
11,TRUE,Economy,Morning,418
11,TRUE,Economy,Afternoon,438
11,TRUE,Economy,Evening,438
11,FALSE,Business,Morning,493
11,FALSE,Business,Afternoon,493
11,FALSE,Business,Evening,493
11,TRUE,Business,Morning,895
11,TRUE,Business,Afternoon,895
11,TRUE,Business,Evening,895
11,FALSE,FirstClass,Morning,493
11,FALSE,FirstClass,Afternoon,493
11,FALSE,FirstClass,Evening,493
11,TRUE,FirstClass,Morning,895
11,TRUE,FirstClass,Afternoon,895
11,TRUE,FirstClass,Evening,895
12,FALSE,Economy,Morning,247
12,FALSE,Economy,Afternoon,247
12,FALSE,Economy,Evening,223
12,TRUE,Economy,Morning,337
