DaystoDepart,RoundTrip,SeatClass,Time,Price
11,1,0,0,0.287444934
11,1,0,1,0.309471366
11,1,0,2,0.309471366
11,0,1,0,0.370044053
11,0,1,1,0.370044053
11,0,1,2,0.370044053
11,1,1,0,0.81277533
11,1,1,1,0.81277533
11,1,1,2,0.81277533
11,0,2,0,0.370044053
11,0,2,1,0.370044053
11,0,2,2,0.370044053
11,1,2,0,0.81277533
11,1,2,1,0.81277533
11,1,2,2,0.81277533
12,0,0,0,0.099118943
12,0,0,1,0.099118943
12,0,0,2,0.072687225
12,1,0,0,0.198237885
12,1,0,1,0.198237885
12,1,0,2,0.198237885
12,0,1,0,0.348017621
12,0,1,1,0.348017621
12,0,1,2,0.348017621
12,1,1,0,0.647577093
12,1,1,1,0.647577093
12,1,1,2,0.647577093
12,0,2,0,0.348017621
12,0,2,1,0.348017621
12,0,2,2,0.348017621
12,1,2,0,0.647577093
12,1,2,1,0.647577093
12,1,2,2,0.647577093
13,0,0,0,0.057268722
13,0,0,1,0.051762115
13,0,0,2,0.063876652
13,1,0,0,0.088105727
13,1,0,1,0.088105727
13,1,0,2,0.088105727
13,0,1,0,0.248898678
13,0,1,1,0.248898678
13,0,1,2,0.248898678
13,1,1,0,0.504405286
13,1,1,1,0.504405286
13,1,1,2,0.504405286
13,0,2,0,0.248898678
13,0,2,1,0.248898678
13,0,2,2,0.248898678
13,1,2,0,0.504405286
13,1,2,1,0.504405286
13,1,2,2,0.504405286
14,0,0,0,0.063876652
14,0,0,1,0.079295154
14,0,0,2,0.063876652
14,1,0,0,0.088105727
14,1,0,1,0.088105727
14,1,0,2,0.088105727
14,0,1,0,0.27092511
14,0,1,1,0.27092511
14,0,1,2,0.27092511
14,1,1,0,0.526431718
14,1,1,1,0.526431718
14,1,1,2,0.526431718
14,0,2,0,0.27092511
14,0,2,1,0.27092511
14,0,2,2,0.27092511
14,1,2,0,0.526431718
14,1,2,1,0.526431718
14,1,2,2,0.526431718
15,0,0,0,0.063876652
15,0,0,1,0.085903084
15,0,0,2,0.085903084
15,1,0,0,0.088105727
15,1,0,1,0.088105727
15,1,0,2,0.088105727
