Days_to_Departure,One-way Morning Economy,One-way Afternoon Economy,One-way Evening Economy,Roundtrip Morning Economy,Roundtrip Afternoon Economy,Roundtrip Evening Economy,One-way Morning Business,One-way Afternoon Business,One-way Evening Business,Roundtrip Morning Business,Roundtrip Afternoon Business,Roundtrip Evening Business,One-way Morning First Class,One-way Afternoon First Class,One-way Evening First Class,Roundtrip Morning First Class,Roundtrip Afternoon First Class,Roundtrip Evening First Class,Average
134,189,189,189,197,207,187,383,383,383,575,585,565,383,383,383,575,585,565,383.6666667
135,184,184,184,182,202,182,378,378,378,560,580,560,378,378,378,560,580,560,377
136,189,189,189,367,367,367,383,383,383,755,755,755,383,383,383,755,755,755,472
137,179,179,179,367,367,367,373,373,373,755,755,755,373,373,373,755,755,755,467
138,159,159,159,182,202,182,353,353,353,560,580,560,353,353,353,560,580,560,364.5
139,159,159,159,187,207,187,353,353,353,565,585,565,353,353,353,565,585,565,367
140,179,179,179,197,217,197,373,373,378,575,595,575,373,373,373,575,595,575,382.2777778
141,189,189,189,207,227,187,383,383,383,585,595,565,383,383,383,585,595,565,387.5555556
142,184,184,184,182,202,192,378,378,378,560,580,570,378,378,378,560,580,570,378.6666667
143,189,189,189,367,367,367,383,383,383,755,755,755,383,383,383,755,755,755,472
144,179,179,179,367,367,367,373,373,373,755,755,755,373,373,373,755,755,755,467
145,159,159,159,182,202,182,353,353,353,560,580,560,353,353,353,560,580,560,364.5
146,159,159,159,187,207,187,353,353,353,565,585,565,353,353,353,565,585,565,367
147,179,179,179,197,217,197,373,373,373,575,595,575,373,373,373,575,595,575,382
148,189,189,189,197,207,187,383,383,383,565,585,565,383,383,383,565,585,565,382.5555556
149,184,184,184,182,202,182,378,378,378,560,580,580,378,378,378,560,580,580,379.2222222
150,189,189,189,367,367,367,383,383,383,755,755,755,383,383,383,755,755,755,472
151,179,179,179,367,367,367,373,373,373,755,755,755,373,373,373,755,755,755,467
152,159,159,159,182,202,182,353,353,353,560,580,560,353,353,353,560,580,560,364.5
153,159,159,159,187,207,187,353,353,353,565,585,565,353,353,353,565,585,565,367
154,179,179,179,190,210,190,373,373,373,575,595,575,373,373,373,575,595,575,380.8333333
155,189,189,189,210,240,200,383,383,383,595,615,585,383,383,383,595,615,585,394.7222222
156,184,184,184,195,215,205,378,378,378,580,600,590,378,378,378,580,600,590,387.5
157,189,189,189,347,347,347,383,383,383,735,735,735,383,383,383,735,735,735,462
158,159,159,159,317,317,317,353,353,353,705,705,705,353,353,353,705,705,705,432
159,159,159,159,183,190,183,353,353,353,575,575,575,353,353,353,575,575,575,366.7222222
