Days_to_Departure,One-way Morning Economy,One-way Afternoon Economy,One-way Evening Economy,Roundtrip Morning Economy,Roundtrip Afternoon Economy,Roundtrip Evening Economy,One-way Morning Business,One-way Afternoon Business,One-way Evening Business,Roundtrip Morning Business,Roundtrip Afternoon Business,Roundtrip Evening Business,One-way Morning First Class,One-way Afternoon First Class,One-way Evening First Class,Roundtrip Morning First Class,Roundtrip Afternoon First Class,Roundtrip Evening First Class,Average
69,130,162,130,259,291,259,259,291,259,517,549,517,259,291,259,517,549,517,334.1666667
70,130,130,130,248,248,248,259,259,259,506,506,506,259,259,259,506,506,506,318
71,130,119,119,248,237,237,376,248,248,623,495,495,376,248,248,623,495,495,336.6666667
72,130,197,162,279,346,311,259,326,291,557,624,589,259,326,291,557,624,589,373.1666667
73,197,162,130,326,291,259,326,291,259,564,529,497,326,291,259,564,529,497,349.8333333
74,119,119,119,248,248,248,248,248,248,486,486,486,248,248,248,486,486,486,305.8333333
75,119,119,119,248,248,248,248,248,248,486,486,486,248,248,248,486,486,486,305.8333333
76,150,150,150,279,279,279,299,299,299,537,537,537,299,299,299,537,537,537,350.1666667
77,130,130,130,248,248,248,239,239,239,477,477,477,239,239,239,477,477,477,301.6666667
78,247,162,197,365,280,315,376,271,326,594,509,544,376,271,326,594,509,544,378.1111111
79,130,197,162,259,326,291,239,326,371,497,584,529,239,326,271,497,584,529,353.1666667
80,267,162,130,346,291,259,416,271,239,624,529,497,416,271,239,624,529,497,367.0555556
81,262,197,119,280,315,237,271,326,239,518,553,486,271,326,239,518,553,486,344.2222222
82,119,119,119,248,248,248,239,239,239,497,497,497,239,239,239,497,497,497,306.5
83,130,130,130,259,259,259,259,291,259,517,549,517,259,291,259,517,549,517,330.6111111
84,130,130,130,248,248,248,259,259,259,506,506,506,259,259,259,506,506,506,318
85,130,119,119,248,237,237,259,248,248,506,495,495,259,248,248,506,495,495,310.6666667
86,130,162,130,259,291,259,259,291,259,517,549,517,259,291,259,517,549,517,334.1666667
87,162,130,130,291,259,259,291,259,259,549,517,517,291,259,259,549,517,517,334.1666667
88,119,119,119,237,237,237,248,248,248,495,495,495,248,248,248,495,495,495,307
89,119,119,119,278,278,278,248,248,248,536,536,536,248,248,248,536,536,536,327.5
90,130,130,130,279,279,279,259,259,259,537,537,537,259,259,259,537,537,537,333.5
91,130,130,130,248,248,248,259,259,259,506,506,506,259,259,259,506,506,506,318
92,119,119,119,237,237,237,248,248,248,495,495,495,248,248,248,495,495,495,307
93,160,227,160,309,376,309,289,356,289,567,634,567,289,356,289,567,634,567,385.8333333
94,150,150,150,309,309,309,279,279,279,567,567,567,279,279,279,567,567,567,358.5
95,119,119,119,273,273,273,248,248,248,531,531,531,248,248,248,531,531,531,325
96,119,119,119,278,278,278,248,248,248,536,536,536,248,248,248,536,536,536,327.5
97,150,150,150,299,299,299,279,279,279,557,557,557,279,279,279,557,557,557,353.5
98,160,160,160,289,289,289,289,289,289,547,547,547,289,289,289,547,547,547,353.5
99,155,155,155,284,284,284,284,284,284,542,542,542,284,284,284,542,542,542,348.5
100,160,160,160,309,309,309,289,289,289,567,567,567,289,289,289,567,567,567,363.5
101,150,150,150,309,309,309,279,279,279,567,567,567,279,279,279,567,567,567,358.5
102,130,130,130,284,284,284,259,259,259,542,542,542,259,259,259,542,542,542,336
103,130,130,130,289,289,289,259,259,259,547,547,547,259,259,259,547,547,547,338.5
104,150,150,150,299,299,299,279,279,279,557,557,557,279,279,279,557,557,557,353.5
105,160,160,160,289,289,289,289,289,289,547,547,547,289,289,289,547,547,547,353.5
106,155,155,155,284,284,284,284,284,284,542,542,542,284,284,284,542,542,542,348.5
107,160,227,160,309,376,309,289,356,289,567,634,567,289,356,289,567,634,567,385.8333333
108,150,150,150,309,309,309,279,279,279,567,567,567,279,279,279,567,567,567,358.5
109,130,130,130,259,259,259,259,259,259,497,497,497,259,259,259,497,497,497,316.8333333
110,130,130,130,259,259,259,259,259,259,497,497,497,259,259,259,497,497,497,316.8333333
111,150,150,150,279,279,279,279,279,279,517,517,517,279,279,279,517,517,517,336.8333333
112,160,160,160,289,289,289,289,289,289,527,527,527,289,289,289,527,527,527,346.8333333
113,130,162,162,259,291,291,239,271,271,477,509,509,239,271,271,477,509,409,319.2777778
114,130,130,130,259,259,259,239,239,239,477,477,477,239,239,239,477,477,477,303.5
115,130,130,130,259,259,259,239,239,239,477,477,477,239,239,239,477,477,477,303.5
116,130,130,197,259,259,326,239,239,326,477,477,544,239,239,326,477,477,544,328.0555556
117,130,130,130,289,289,289,239,239,239,547,547,547,239,239,239,547,547,547,331.8333333
118,130,130,130,279,279,279,239,239,239,517,517,517,239,239,239,517,517,517,320.1666667
119,130,130,130,259,259,259,239,239,2392,497,497,497,239,239,239,497,497,497,429.7777778
120,130,130,130,259,259,259,239,239,239,497,497,497,239,239,239,497,497,497,310.1666667
121,160,227,160,309,376,309,309,376,309,587,654,587,309,376,309,587,654,587,399.1666667
122,150,150,150,309,309,309,279,279,279,567,567,567,279,279,279,567,567,567,358.5
123,130,130,130,284,284,284,259,259,259,542,542,542,259,259,259,542,542,542,336
124,130,130,130,289,289,289,259,259,259,547,547,547,259,259,259,547,547,547,338.5
125,150,150,150,299,299,299,279,279,279,557,557,557,279,279,279,557,557,557,353.5
126,160,160,160,289,289,289,289,289,289,547,547,547,289,289,289,547,547,547,353.5
127,155,187,155,284,316,284,284,316,284,542,574,542,284,316,284,542,574,542,359.1666667
128,160,160,160,309,309,309,289,289,289,567,567,567,289,289,289,567,567,567,363.5
129,150,150,150,309,309,309,279,279,279,567,567,567,279,279,279,567,567,567,358.5
130,130,130,130,284,284,284,259,259,259,542,542,542,259,259,259,542,542,542,336
131,130,130,130,321,321,321,259,259,259,579,579,579,259,259,259,579,579,579,354.5
132,150,150,150,299,299,299,279,279,279,557,557,557,279,279,279,557,557,557,353.5
133,160,160,160,289,289,289,289,289,289,547,547,547,289,289,289,547,547,547,353.5
134,155,155,155,284,284,284,284,284,284,542,542,542,284,284,284,542,542,542,348.5
135,160,160,160,309,309,309,289,289,289,567,567,567,289,289,289,567,567,567,363.5
136,150,150,150,309,309,309,279,279,279,567,567,567,279,279,279,567,567,567,358.5
137,130,130,130,284,284,284,259,259,259,542,542,542,259,259,259,542,542,542,336
138,130,130,130,321,321,321,259,259,259,579,579,579,259,259,259,579,579,579,354.5
139,150,150,150,299,299,299,279,279,279,557,557,557,279,279,279,557,557,557,353.5
140,160,160,160,289,289,289,289,289,289,547,547,547,289,289,289,547,547,547,353.5
141,155,155,155,284,284,284,284,284,284,542,542,542,284,284,284,542,542,542,348.5
142,160,192,160,309,341,309,289,321,289,567,599,567,289,321,289,567,599,567,374.1666667
143,150,150,150,309,309,309,279,279,279,567,567,567,279,279,279,567,567,567,358.5
144,130,130,130,284,284,284,259,259,259,542,542,542,259,259,259,542,542,542,336
145,130,130,130,289,289,289,259,259,259,547,547,547,259,259,259,547,547,547,338.5
146,150,150,150,299,299,299,279,279,279,557,557,557,279,279,279,557,557,557,353.5
147,160,160,160,289,289,289,289,289,289,547,547,547,289,289,289,547,547,547,353.5
148,155,155,155,284,284,284,284,284,284,542,542,542,284,284,284,542,542,542,348.5
149,160,160,160,309,309,309,289,289,289,567,567,567,289,289,289,567,567,567,363.5
150,150,150,150,309,309,309,279,279,279,567,567,567,279,279,279,567,567,567,358.5
151,130,130,130,284,284,284,259,259,259,542,542,542,259,259,259,542,542,542,336
152,130,130,130,289,289,289,259,259,259,547,547,547,259,259,259,547,547,547,338.5
153,150,150,150,279,279,279,279,279,279,537,537,537,279,279,279,537,537,537,343.5
154,160,160,160,289,289,289,289,289,289,547,547,547,289,289,289,547,547,547,353.5
155,155,155,155,284,284,284,284,284,284,542,542,542,284,284,284,542,542,542,348.5
156,160,227,160,289,356,289,289,356,289,547,614,547,289,356,289,547,614,547,375.8333333
157,130,130,130,259,259,259,259,259,259,517,517,517,259,259,259,517,517,517,323.5
158,130,130,130,259,259,259,259,259,259,517,517,517,259,259,259,517,517,517,323.5
159,130,130,130,259,259,259,259,259,259,517,517,517,259,259,259,517,517,517,323.5
160,130,130,130,259,259,259,259,259,259,517,517,517,259,259,259,517,517,517,323.5
161,130,130,130,248,248,248,259,259,259,506,506,506,259,259,259,506,506,506,318
162,130,130,197,248,248,315,259,259,326,506,506,573,259,259,326,506,506,573,340.3333333
163,130,197,197,259,326,326,259,326,326,517,584,584,259,326,326,517,584,584,368.1666667
164,130,130,130,259,259,259,259,259,259,517,517,517,259,259,259,517,517,517,323.5
165,119,119,119,237,237,237,248,248,248,495,495,495,248,248,248,495,495,495,307
166,119,119,119,248,248,248,248,248,248,506,506,506,248,248,248,506,506,506,312.5
167,130,130,130,259,259,259,259,259,259,517,517,517,259,259,259,517,517,571,326.5
168,130,130,130,248,248,248,259,259,259,506,506,506,259,259,259,506,506,506,318
169,119,119,130,237,237,248,248,248,259,495,495,506,248,248,259,495,495,506,310.6666667
170,130,162,130,279,311,279,259,291,259,537,569,537,259,291,259,537,569,537,344.1666667
171,130,130,130,259,259,259,259,259,259,497,497,497,259,259,259,497,497,497,316.8333333
172,119,119,119,237,237,237,248,248,248,486,486,486,248,248,248,486,486,486,304
173,119,119,119,248,248,248,248,248,248,486,486,486,248,248,248,486,486,486,305.8333333
174,150,150,150,279,279,279,279,279,279,517,517,571,279,279,279,517,517,517,339.8333333
175,130,130,130,248,248,248,239,239,239,477,477,477,239,239,239,477,477,477,301.6666667
176,221,119,130,410,237,248,391,239,239,629,477,477,391,239,239,629,477,477,348.2777778
177,130,130,130,259,259,259,239,239,239,497,497,497,239,239,239,497,497,497,310.1666667
178,217,162,130,346,291,259,366,271,239,624,529,497,366,271,239,624,529,497,358.7222222
179,197,119,162,315,237,280,326,239,271,553,486,518,326,239,271,553,486,518,338.6666667
180,119,119,119,248,248,248,239,239,239,497,497,497,239,239,239,497,497,497,306.5
